Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved FSM 6,2.850221774193548,0.7774439516129033,44.0,1.0,0.7217981854838709,0.05564576612903225,0.11549455645161294,0.1070614919354839,0.9351810913169754,0.3325663394032651,0.7198389944997583,0.21010618819056792
1,EvolvedLookerUp2_2_2,2.835493951612903,0.7460951612903226,53.0,1.0,0.6658302419354841,0.08026491935483873,0.14566088709677405,0.10824395161290315,0.8611412635681505,0.45160084694866115,0.5320100071936414,0.8496799993127433
2,Evolved HMM 5,2.829425403225806,0.7460157258064516,48.0,1.0,0.6949542338709677,0.051061491935483885,0.12209858870967741,0.13188568548387095,0.9974628902792437,0.4698096467887196,0.014928737751868685,0.2048259350022346
3,Evolved ANN 5,2.8209375000000003,0.7168286290322581,49.0,1.0,0.6995252016129032,0.017303427419354832,0.10979274193548394,0.17337862903225806,1.0,0.7250701938156505,0,0.3021162045466258
4,Evolved FSM 16,2.8196874999999997,0.7187979838709677,69.0,1.0,0.6258590725806451,0.09293891129032258,0.16528326612903232,0.11591875000000008,0.8342303735991127,0.5735516546861639,0.47872174515523563,0.36319464421002345
5,Evolved ANN,2.813618951612903,0.730083064516129,49.0,1.0,0.71181875,0.018264314516129025,0.10197338709677421,0.16794354838709674,0.9834360259222761,0.8367877267016753,0.3944538905638229,0.014502454676606274
6,Evolved FSM 16 Noise 05,2.8087399193548386,0.7224463709677419,49.0,1.0,0.6989870967741936,0.023459274193548377,0.10875000000000005,0.16880362903225804,0.9801830054593506,0.5743949103109778,0.4077084630335043,0.07099474706084623
7,PSO Gambler 2_2_2,2.802701612903226,0.6934671370967742,48.0,1.0,0.6210207661290321,0.07244637096774197,0.1583602822580645,0.14817258064516134,0.8705168756524622,0.3971030286451883,0.4605891268812771,0.40448283412709934
8,PSO Gambler 1_1_1,2.802641129032258,0.7036818548387097,56.0,1.0,0.669228427419355,0.034453427419354817,0.1246798387096774,0.1716383064516129,1.0,0.2944395988618334,0,0.1288456725117877
9,PSO Gambler Mem1,2.796502016129032,0.7295276209677419,52.0,1.0,0.6876985887096773,0.04182903225806451,0.11615282258064516,0.1543195564516129,1.0,0.5199929493648342,0,0.12030127194414286
10,Evolved FSM 4,2.790302419354839,0.781716935483871,41.0,1.0,0.6784997983870966,0.10321713709677426,0.13398608870967751,0.08429697580645167,0.9370412543681118,0.4401262260883799,0,0.7893166105677283
11,"Omega TFT: 3, 8",2.789707661290323,0.7319245967741935,43.0,1.0,0.7197941532258063,0.012130443548387082,0.09063891129032263,0.17743649193548391,0.9996375605851734,0.1594089127893328,0.6049591489870112,0.009915341141938375
12,"DBS: 0.75, 3, 4, 3, 5",2.770272177419355,0.7426040322580645,36.0,1.0,0.7144147177419357,0.028189314516129008,0.09257963709677416,0.1648163306451612,0.9844957380881889,0.7950323815581604,0.2644687946050416,0.1708217144915972
13,Gradual,2.7606048387096775,0.7468689516129032,54.0,1.0,0.7252439516129033,0.021624999999999978,0.08290000000000002,0.17023104838709677,1.0,0.36092822047698125,0.3212108362239986,0.1412409657558304
14,Original Gradual,2.7605241935483873,0.7910435483870968,44.0,1.0,0.7500489919354839,0.04099455645161287,0.07547016129032263,0.13348629032258055,1.0,0.3728168496578083,0.3846428337021213,0.22241131896371602
15,PSO Gambler 2_2_2 Noise 05,2.757651209677419,0.7268493951612903,50.0,1.0,0.6717659274193549,0.05508346774193547,0.11669758064516128,0.15645302419354837,0.8472730613193656,0.5001152057824639,0.6786420417151501,0.34049749408614044
16,Winner12,2.7540826612903224,0.686257056451613,56.0,1.0,0.6483675403225807,0.03788951612903226,0.12386350806451607,0.18987943548387098,1.0,0.35783036963938225,0,0.4530125321410774
17,"DoubleCrosser: (D, D)",2.7480040322580646,0.6812840725806452,190.0,1.0,0.6647328629032254,0.01655120967741934,0.10864778225806465,0.2100681451612905,0.9962997926529072,0.8001196806286414,0.25992588471714045,0
18,"EugineNier: (D,)",2.734818548387097,0.6506225806451613,206.0,1.0,0.6438288306451616,0.006793749999999985,0.11339475806451592,0.23598266129032247,0.9966858342829413,0,0.4474336433011929,0
19,Second by GraaskampKatzen,2.7339213709677423,0.6711794354838709,54.0,1.0,0.6602120967741935,0.01096733870967741,0.1060923387096774,0.22272822580645166,0.9953531182099027,0,0.5076322967702241,0
20,Spiteful Tit For Tat,2.73258064516129,0.6721381048387097,53.0,1.0,0.6394719758064515,0.03266612903225805,0.12149778225806447,0.2063641129032259,1.0,0,0.6601283962866394,0
21,Fool Me Once,2.732217741935484,0.6265403225806452,68.0,1.0,0.6220243951612904,0.00451592741935484,0.12324475806451612,0.2502149193548387,1.0,0.5791459440919224,0,0
22,"BackStabber: (D, D)",2.72929435483871,0.64288125,200.0,1.0,0.6346929435483868,0.008188306451612908,0.11679556451612917,0.24032318548387113,0.9967739865371589,0.7872620514496945,0,0
23,Second by Borufsen,2.7285685483870967,0.805208064516129,23.0,1.0,0.7636506048387098,0.04155745967741931,0.06061491935483872,0.13417701612903227,0.9985431839922841,0.14330814640542014,0.7893703807863618,0.11158741543221774
24,Second by Rowsam,2.7272278225806454,0.735430443548387,45.0,1.0,0.7066770161290323,0.028753427419354834,0.08576249999999996,0.1788070564516129,0.9241928701254464,0.7389239851412189,0.5573591352056767,0.2739367065164559
25,Forgetful Fool Me Once: 0.05,2.725362903225806,0.750580443548387,54.0,1.0,0.7187747983870969,0.031805645161290315,0.08027318548387093,0.16914637096774185,1.0,0.6408603726091466,0.05013067992858986,0.05008185792871751
26,Meta Winner: 8 players,2.7198790322580644,0.5748852822580646,198.0,1.0,0.565104032258065,0.009781249999999988,0.15025826612903204,0.27485645161290295,0.9051783576904524,0.6265080266540197,0.039442390467087474,0.05431039896554892
27,Revised Downing,2.7194254032258063,0.7859316532258065,30.0,1.0,0.7311975806451613,0.05473407258064515,0.077825,0.13624334677419356,0.9799959922861986,0.7593463737046594,0.3921803134037175,0.1497961201066572
28,AON2,2.719274193548387,0.6808675403225807,51.0,1.0,0.6040449596774192,0.07682258064516133,0.14699858870967747,0.17213387096774208,0.9955871968656905,0.16195129545445827,0,0.45992297988673686
29,NMWE Finite Memory: 80 players,2.7130342741935483,0.58198125,71.0,1.0,0.5684030241935485,0.013578225806451606,0.14721008064516128,0.27080866935483866,0.8256033991887343,0.2547517136358641,0.09858823635667978,0.08025039227846609
30,MEM2,2.706179435483871,0.5995754032258065,80.0,1.0,0.5960264112903225,0.0035489919354838744,0.12941633064516134,0.27100826612903234,0.9967932466957362,0.21179749828216798,0.26331061629222346,0
31,NMWE Stochastic: 68 players,2.705756048387097,0.5847199596774194,69.0,1.0,0.5699493951612905,0.014770564516129034,0.14564012096774184,0.2696399193548386,0.7900446447942194,0.2271288604306683,0.12101023788735617,0.07828701148856376
32,Meta Hunter: 6 players,2.7045463709677415,0.6321207661290322,62.0,1.0,0.596943548387097,0.03517721774193547,0.13636975806451615,0.23150947580645145,0.9071808685411861,0.71901937547049,0.15844451413935426,0.09258342248052993
33,Second by Kluepfel,2.702641129032258,0.7485925403225806,30.0,1.0,0.7199028225806453,0.028689717741935485,0.07252016129032256,0.17888729838709672,0.974078509499848,0.3423725455731169,0.6054381602925345,0.058399662306005615
34,NMWE Memory One: 36 players,2.7015423387096775,0.5746502016129033,80.0,1.0,0.5660961693548386,0.008554032258064514,0.14490866935483876,0.28044112903225815,0.8228203858867913,0.23622117722352498,0.12084768218965444,0.03641645956306047
35,Nice Meta Winner Ensemble: 217 players,2.700211693548387,0.5729963709677419,75.0,1.0,0.5652701612903227,0.007726209677419353,0.1442322580645161,0.2827713709677419,0.828527758057389,0.2558384177141225,0.07551355553774491,0.03749783248653379
36,First by Shubik,2.6985584677419356,0.7314905241935484,50.0,1.0,0.7001868951612902,0.03130362903225805,0.08219112903225813,0.1863183467741936,1.0,0,0.3067935923933034,0.21528823084067983
37,"Michaelos: (D,)",2.6936794354838707,0.604667943548387,210.0,1.0,0.6006800403225812,0.003987903225806446,0.12413830645161263,0.2711937499999997,0.9966740158766905,0,0.16563849858082347,0
38,NMWE Deterministic: 149 players,2.689163306451613,0.5694108870967742,77.0,1.0,0.5635868951612905,0.00582399193548387,0.14222318548387097,0.2883659274193548,0.8468766884618261,0.2668748647675418,0.06443939253523576,0.028372344951308505
39,EvolvedLookerUp1_1_1,2.6883165322580647,0.6187245967741936,75.0,1.0,0.5830358870967741,0.0356887096774194,0.13940120967741934,0.24187419354838707,0.9474840486672784,0,0.7416900628160928,0
40,Second by Cave,2.685836693548387,0.800176814516129,26.0,1.0,0.761175,0.03900181451612902,0.050236088709677426,0.1495870967741935,0.9987319665041188,0.4057948080121821,0.753952546553589,0.11577054515252483
41,CAPRI,2.6856754032258063,0.676679435483871,53.0,1.0,0.6542778225806452,0.022401612903225794,0.09972016129032257,0.2236004032258065,1.0,0,0.6186326111685948,0
42,NMWE Long Memory: 137 players,2.6847379032258067,0.5705649193548387,76.0,1.0,0.5646614919354839,0.005903427419354839,0.14046552419354838,0.28896955645161304,0.8289291352602943,0.27766409677091086,0.06192771256783386,0.02791733732808641
43,Second by Weiner,2.678104838709677,0.7607096774193548,40.0,1.0,0.7375604838709677,0.023149193548387063,0.056657661290322577,0.18263266129032257,0.9993699414869334,0.2075027283640703,0.6730814489948455,0.00664520847649867
44,Nice Meta Winner: 217 players,2.671340725806451,0.5789858870967742,72.0,1.0,0.5684209677419355,0.010564919354838708,0.13626592741935487,0.2847481854838709,0.866637235391238,0.6629125954535067,0.033926562957701474,0.04281226339893028
45,TF3,2.665786290322581,0.5797004032258064,79.0,1.0,0.5741256048387096,0.005574798387096777,0.13106088709677424,0.2892387096774195,0.9323670323547663,0.6066920614801743,0.3045547363605348,0.012763953074535612
46,Grudger,2.6652217741935487,0.5653949596774194,84.0,1.0,0.5629538306451614,0.0024411290322580662,0.1352951612903226,0.299309879032258,1.0,0,0,0
47,Level Punisher,2.659233870967742,0.7308997983870967,42.0,1.0,0.7064143145161292,0.02448548387096773,0.06759758064516129,0.20150262096774185,0.9898789274789788,0.8831470939180016,0.10947727970841506,0
48,"ZD-GTFT-2: 0.25, 0.5",2.6536995967741936,0.8576776209677419,0.0,1.0,0.7787782258064516,0.07889939516129035,0.04356229838709677,0.09876008064516129,1.0,0.12328643786053045,1.0,0.24729331353668216
49,Second by Grofman,2.653568548387097,0.7456754032258065,47.0,1.0,0.723555241935484,0.02212016129032255,0.05704374999999998,0.19728084677419347,0.9883881286243834,0.7190683298628107,0.31317435530918797,0.03754102198492937
50,GTFT: 0.1,2.6534778225806455,0.8333534274193548,0.0,1.0,0.767527620967742,0.0658258064516129,0.04625907258064515,0.12038749999999995,1.0,0.09752056162843369,1.0,0.09760312398210921
